Edad,RangoEdad,Sexo,EstadoCivil,TipoLocalidad,Comuna,Zona,Estrato,TipoVivienda,TiempoEnMedellin,PersonasConLasQueVive,AfiliacionSalud,NivelEstudio,Estudia,ValoracionOportunidadesDeLaCiudadParaEstudiar,ValoracionInstitucionEnHabilidadesDelMundoLaboral,ImpactoProfesoresEnLaVida,Trabaja,PercepcionOfertaLaboral,GastoSemanalTransporte,GastoSemanalRumba,GastoSemanalObligacionesFamiliares,EdadALaQueTuvoPrimerHijo,EdadPrimeraRelacionSexual,ConsumoDrogas,ConsumoCigarrillo,ConsumoLicor,FrecuenciaEjercicio,FrecuenciaLectura,ParticipacionMarchas,ActividadesComunitarias,ParticipacionVoluntariados,ParticipacionGrupoJuvenil
16,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,De 1 a 5 años,3 personas,Subsidiado/ Sisben,Grado 9,Sí,Favorable,Favorable,Ni favorable/ Ni desfavorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,16,No,No,Sí,Siempre,A veces,No,No,No,Sí
15,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,De 1 a 5 años,6 personas,Subsidiado/ Sisben,Grado 8,Sí,Muy favorable,Ni favorable/ Ni desfavorable,Favorable,No,Muy buena,0,0,0,No Aplica,12,No,No,Sí,Casi Siempre,Casi Siempre,Sí,No,No,Sí
20,18-21 años,Mujer,No eres casado(a) y vives en pareja hace menos de dos años,COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Siempre,4 personas,Subsidiado/ Sisben,Técnica Completa,No,Favorable,Favorable,Muy favorable,Sí,Ni buena/ Ni mala,6000,0,150000,No Aplica,14,Sí,Sí,Sí,A veces,Casi nunca,No,Sí,No,Sí
26,22-26 años,Mujer,No eres casado(a) y vives en pareja hace dos años o más,COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Prestado por un familiar o amigo,Más de 10 años,7 personas,Subsidiado/ Sisben,Universitaria Incompleta o en curso,Sí,Desfavorable,Muy favorable,Favorable,No,Mala,0,0,0,25,17,No,No,Sí,Casi Siempre,A veces,Sí,No,No,No
14,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,4 personas,Beneficiario,Grado 9,Sí,Favorable,Favorable,Ni favorable/ Ni desfavorable,Nunca he trabajado,Buena,0,0,0,No Aplica,No Aplica,No,No,No,A veces,Nunca,No,No,No,Sí
16,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,7 personas,Subsidiado/ Sisben,Grado 10,Sí,Favorable,Muy favorable,Muy favorable,Nunca he trabajado,Buena,0,0,0,No Aplica,15,No,No,Sí,Siempre,A veces,No,No,No,No
20,18-21 años,Hombre,Separado(a) o divorciado(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,3 personas,Subsidiado/ Sisben,Grado 11,No,Muy favorable,Favorable,Favorable,No,Ni buena/ Ni mala,0,0,0,No Aplica,14,Sí,Sí,Sí,Casi Siempre,Siempre,No,No,No,No
18,18-21 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Más de 10 años,5 personas,Beneficiario,Universitaria Incompleta o en curso,Sí,Ni favorable/ Ni desfavorable,Ni favorable/ Ni desfavorable,Favorable,No,Muy Mala,24000,0,0,No Aplica,No Aplica,No,No,Sí,Casi Siempre,Casi Siempre,No,No,No,No
16,14-17 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Siempre,3 personas,Beneficiario,Técnica incompleta o en curso,Sí,Ni favorable/ Ni desfavorable,Favorable,Muy favorable,Nunca he trabajado,Ni buena/ Ni mala,50000,0,0,No Aplica,No Aplica,No,No,Sí,A veces,A veces,No,No,No,No
16,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,Prestado por un familiar o amigo,De 5 a 10 años,5 personas,Subsidiado/ Sisben,Grado 10,Sí,Desfavorable,Favorable,Favorable,No,Mala,50000,0,0,No Aplica,13,Sí,No,Sí,Siempre,Casi Siempre,No,No,No,No
17,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,De tus padres/ hermanos,Siempre,6 personas,Beneficiario,Grado 11,Sí,Muy favorable,Muy favorable,Favorable,Sí,Buena,50000,70000,0,No Aplica,15,No,Sí,Sí,A veces,A veces,Sí,No,No,Sí
17,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,Alquilado,Siempre,4 personas,Beneficiario,Técnica incompleta o en curso,Sí,Muy favorable,Muy favorable,Muy favorable,Nunca he trabajado,Muy buena,0,0,0,No Aplica,13,No,No,Sí,Casi nunca,Siempre,Sí,No,No,Sí
19,18-21 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,De 5 a 10 años,3 personas,Beneficiario,Grado 11,Sí,Muy favorable,Muy favorable,Favorable,No,Nunca ha realizado,0,0,0,No Aplica,13,No,Sí,Sí,Nunca,Nunca,No,No,No,Sí
14,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Siempre,6 personas,Subsidiado/ Sisben,Grado 7,Sí,Muy desfavorable,Desfavorable,Favorable,Nunca he trabajado,Nunca ha realizado,0,0,0,No Aplica,No Aplica,No,No,No,Casi nunca,Casi nunca,No,No,No,No
14,14-17 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 1,Alquilado,De 1 a 5 años,5 personas,Subsidiado/ Sisben,Grado 6,Sí,Desfavorable,Ni favorable/ Ni desfavorable,Favorable,Nunca he trabajado,Nunca ha realizado,0,0,0,No Aplica,No Aplica,No,No,No,A veces,A veces,No,No,Sí,Sí
18,18-21 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,5 personas,Beneficiario,Grado 11,No,Muy favorable,Favorable,Favorable,Nunca he trabajado,Nunca ha realizado,0,0,0,18,15,No,No,Sí,Nunca,Nunca,No,No,No,No
18,18-21 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 4,Alquilado,De 1 a 5 años,5 personas,Subsidiado/ Sisben,Grado 11,No,Desfavorable,Ni favorable/ Ni desfavorable,Favorable,No,Muy Mala,0,10000,0,No Aplica,16,No,No,Sí,A veces,Casi nunca,No,No,No,No
25,22-26 años,Hombre,No eres casado(a) y vives en pareja hace dos años o más,COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,5 personas,Cotizante,Grado 11,No,Favorable,Muy favorable,Muy favorable,No,Ni buena/ Ni mala,20000,30000,0,21,12,No,Sí,Sí,A veces,A veces,No,No,No,No
22,22-26 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,"Ocupado (No es propio, ni paga arriendo, ni es prestado)",Siempre,3 personas,Subsidiado/ Sisben,Técnica Completa,No,Muy favorable,Favorable,Muy favorable,Sí,Muy buena,18000,10000,70000,No Aplica,18,No,No,Sí,Nunca,Casi nunca,No,Sí,No,No
25,22-26 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,"Ocupado (No es propio, ni paga arriendo, ni es prestado)",Más de 10 años,Más de 10 personas,Subsidiado/ Sisben,Tecnología Incompleta o en curso,Sí,Ni favorable/ Ni desfavorable,Muy favorable,Muy favorable,No,Nunca ha realizado,50000,0,0,No Aplica,22,No,No,Sí,Nunca,Casi nunca,No,No,No,No
26,22-26 años,Mujer,Casado(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,"Ocupado (No es propio, ni paga arriendo, ni es prestado)",Más de 10 años,5 personas,Beneficiario,Grado 9,No,Muy desfavorable,Muy favorable,Muy favorable,No,Nunca ha realizado,40000,0,20000,17,15,No,No,No,A veces,Casi nunca,No,No,No,Sí
25,22-26 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,De tus padres/ hermanos,Siempre,4 personas,Beneficiario,Técnica Completa,No,Muy favorable,Muy favorable,Favorable,No,Ni buena/ Ni mala,15000,0,0,No Aplica,20,No,No,Sí,A veces,A veces,No,No,No,No
16,14-17 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,4 personas,Beneficiario,Grado 10,Sí,Favorable,Ni favorable/ Ni desfavorable,Muy favorable,Nunca he trabajado,Buena,0,0,0,No Aplica,No Aplica,No,Sí,Sí,A veces,A veces,No,No,No,No
19,18-21 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,6 personas,Subsidiado/ Sisben,Técnica Completa,No,Ni favorable/ Ni desfavorable,Muy favorable,Muy favorable,Sí,Nunca ha realizado,20000,50000,50000,No Aplica,15,Sí,Sí,Sí,Siempre,A veces,No,No,No,No
20,18-21 años,Mujer,No eres casado(a) y vives en pareja hace dos años o más,COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Siempre,4 personas,Subsidiado/ Sisben,Grado 9,Sí,Muy desfavorable,Muy desfavorable,Desfavorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,150000,16,15,No,No,Sí,Nunca,Nunca,No,No,No,No
14,14-17 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Siempre,5 personas,Subsidiado/ Sisben,Grado 7,No,Ni favorable/ Ni desfavorable,Muy favorable,Favorable,Nunca he trabajado,Nunca ha realizado,0,0,0,No Aplica,No Aplica,No,No,No,Nunca,Nunca,No,Sí,No,Sí
16,14-17 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,Más de 10 personas,Subsidiado/ Sisben,Grado 9,Sí,Ni favorable/ Ni desfavorable,Muy favorable,Muy favorable,Nunca he trabajado,Nunca ha realizado,0,0,0,No Aplica,No Aplica,No,No,No,Siempre,A veces,Sí,No,No,Sí
19,18-21 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Más de 10 años,3 personas,Subsidiado/ Sisben,Tecnología Incompleta o en curso,Sí,Favorable,Favorable,Favorable,Nunca he trabajado,Ni buena/ Ni mala,15000,0,0,No Aplica,17,No,No,Sí,A veces,A veces,No,No,No,No
15,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,5 personas,Beneficiario,Grado 10,Sí,Favorable,Ni favorable/ Ni desfavorable,Favorable,Nunca he trabajado,Nunca ha realizado,0,0,0,No Aplica,No Aplica,No,No,No,A veces,A veces,No,No,No,Sí
16,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Más de 10 años,7 personas,Beneficiario,Grado 10,Sí,Muy favorable,Favorable,Muy favorable,Nunca he trabajado,Muy buena,0,0,0,No Aplica,14,No,No,Sí,Siempre,Casi nunca,No,No,No,No
17,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Prestado por un familiar o amigo,Menos de 1 año,3 personas,Beneficiario,Grado 11,Sí,Favorable,Ni favorable/ Ni desfavorable,Favorable,No,Ni buena/ Ni mala,50000,0,0,No Aplica,16,No,No,No,Casi Siempre,Casi Siempre,No,No,No,No
22,22-26 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Más de 10 años,6 personas,Subsidiado/ Sisben,Grado 11,No,Favorable,Ni favorable/ Ni desfavorable,Muy favorable,Sí,Buena,0,0,20000,17,15,No,No,Sí,Casi Siempre,Nunca,No,No,No,No
24,22-26 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Más de 10 años,3 personas,Beneficiario,Universitaria Incompleta o en curso,Sí,Muy favorable,Muy favorable,Favorable,Nunca he trabajado,Mala,30000,20000,0,No Aplica,No Aplica,No,No,Sí,Casi Siempre,Siempre,No,No,No,No
22,22-26 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,De 5 a 10 años,6 personas,Subsidiado/ Sisben,Tecnología Incompleta o en curso,Sí,Ni favorable/ Ni desfavorable,Muy favorable,Muy favorable,Sí,Ni buena/ Ni mala,40000,0,0,No Aplica,16,No,No,Sí,A veces,A veces,No,No,No,No
17,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,7 personas,Beneficiario,Grado 8,No,Favorable,Favorable,Favorable,Sí,Ni buena/ Ni mala,0,0,0,No Aplica,14,No,Sí,Sí,Nunca,Nunca,No,No,No,No
16,14-17 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Siempre,5 personas,Subsidiado/ Sisben,Grado 9,Sí,Muy favorable,Muy favorable,Muy favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,15,No,No,Sí,Nunca,A veces,No,Sí,No,No
17,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,6 personas,Subsidiado/ Sisben,Grado 7,Sí,Favorable,Favorable,Ni favorable/ Ni desfavorable,No,Buena,30000,0,0,No Aplica,13,Sí,Sí,Sí,A veces,Casi nunca,No,No,No,No
17,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,De 5 a 10 años,2 personas,Subsidiado/ Sisben,Grado 11,Sí,Ni favorable/ Ni desfavorable,Favorable,Favorable,Sí,Buena,20000,20000,30000,No Aplica,15,No,Sí,Sí,Casi Siempre,Casi Siempre,No,No,No,No
18,18-21 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,De 1 a 5 años,4 personas,Beneficiario,Universitaria Incompleta o en curso,Sí,Favorable,Favorable,Muy favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,Sí,A veces,Casi Siempre,No,No,No,No
20,18-21 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Siempre,5 personas,Subsidiado/ Sisben,Universitaria Incompleta o en curso,Sí,Ni favorable/ Ni desfavorable,Favorable,Favorable,No,Mala,0,0,0,No Aplica,16,No,No,Sí,Casi Siempre,A veces,No,No,No,No
15,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Siempre,5 personas,Beneficiario,Grado 9,Sí,Ni favorable/ Ni desfavorable,Favorable,Favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,Sí,Casi Siempre,Casi nunca,No,No,No,No
24,22-26 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Prestado por un familiar o amigo,Siempre,7 personas,Subsidiado/ Sisben,Técnica incompleta o en curso,No,Ni favorable/ Ni desfavorable,Muy favorable,Favorable,Sí,Ni buena/ Ni mala,25000,0,30000,17,16,No,No,No,Nunca,Siempre,No,No,No,No
25,22-26 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Siempre,2 personas,Cotizante,Técnica incompleta o en curso,No,Favorable,Favorable,Favorable,Sí,Muy Mala,0,0,0,No Aplica,17,No,No,Sí,Siempre,A veces,No,No,No,No
22,22-26 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,"Ocupado (No es propio, ni paga arriendo, ni es prestado)",Siempre,2 personas,Subsidiado/ Sisben,Técnica Completa,No,Favorable,Desfavorable,Muy favorable,Sí,Ni buena/ Ni mala,0,0,0,No Aplica,17,Sí,Sí,No,Siempre,Siempre,Sí,Sí,No,Sí
15,14-17 años,Mujer,No eres casado(a) y vives en pareja hace menos de dos años,COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,De tus padres/ hermanos,Siempre,6 personas,Beneficiario,Grado 10,Sí,Desfavorable,Desfavorable,Desfavorable,Nunca he trabajado,Mala,0,0,0,No Aplica,14,No,No,Sí,Casi Siempre,Casi nunca,No,No,No,No
19,18-21 años,Hombre,No eres casado(a) y vives en pareja hace menos de dos años,COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,De 1 a 5 años,3 personas,Subsidiado/ Sisben,Universitaria Incompleta o en curso,Sí,Favorable,Favorable,Favorable,No,Muy Mala,0,0,0,No Aplica,11,No,No,Sí,Siempre,Siempre,No,No,No,No
21,18-21 años,Hombre,No eres casado(a) y vives en pareja hace menos de dos años,COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Menos de 1 año,6 personas,Subsidiado/ Sisben,Grado 10,No,Favorable,Favorable,Favorable,No,Mala,0,0,0,No Aplica,14,No,No,Sí,Siempre,A veces,No,No,No,No
17,14-17 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Prestado por un familiar o amigo,De 1 a 5 años,8 personas,Beneficiario,Grado 7,Sí,Muy desfavorable,Desfavorable,Desfavorable,No,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,Sí,No,Sí,Siempre,Siempre,No,No,No,No
14,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Siempre,3 personas,Beneficiario,Grado 5,Sí,Ni favorable/ Ni desfavorable,Favorable,Favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,No,Casi Siempre,Casi Siempre,No,No,No,No
19,18-21 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,De tus padres/ hermanos,Siempre,5 personas,Beneficiario,Universitaria Incompleta o en curso,Sí,Ni favorable/ Ni desfavorable,Muy favorable,Favorable,Sí,Buena,0,0,0,No Aplica,17,No,No,No,Siempre,Casi Siempre,No,No,No,No
24,22-26 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,2 personas,Cotizante,Grado 11,No,Ni favorable/ Ni desfavorable,Desfavorable,Ni favorable/ Ni desfavorable,Sí,Mala,0,0,0,No Aplica,No Aplica,No,Sí,Sí,Casi nunca,Casi nunca,No,No,No,No
17,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Más de 10 años,2 personas,Subsidiado/ Sisben,Grado 10,Sí,Favorable,Favorable,Favorable,No,Buena,0,0,0,No Aplica,15,No,No,Sí,A veces,A veces,No,No,Sí,No
16,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,Prestado por un familiar o amigo,Siempre,4 personas,Beneficiario,Grado 10,Sí,Ni favorable/ Ni desfavorable,Ni favorable/ Ni desfavorable,Ni favorable/ Ni desfavorable,No,Ni buena/ Ni mala,0,0,0,No Aplica,14,No,No,Sí,A veces,Casi Siempre,Sí,Sí,No,Sí
18,18-21 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,Alquilado,De 1 a 5 años,3 personas,Beneficiario,Universitaria Incompleta o en curso,Sí,Muy favorable,Muy favorable,Favorable,No,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,Sí,Siempre,Siempre,Sí,No,No,No
19,18-21 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,Alquilado,De 1 a 5 años,4 personas,Subsidiado/ Sisben,Grado 11,Sí,Favorable,Favorable,Muy favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,15,No,No,No,Casi nunca,Casi Siempre,No,No,No,No
25,22-26 años,Mujer,No eres casado(a) y vives en pareja hace dos años o más,COMUNA,Robledo,NOROCCIDENTAL,Estrato 1,De tu propiedad,Siempre,3 personas,Beneficiario,Grado 11,No,Muy favorable,Desfavorable,Favorable,No,Ni buena/ Ni mala,0,0,0,17,15,No,No,Sí,Nunca,Casi nunca,No,No,No,No
15,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Prestado por un familiar o amigo,Siempre,8 personas,Beneficiario,Grado 10,Sí,Muy favorable,Favorable,Favorable,Nunca he trabajado,Buena,0,0,0,No Aplica,No Aplica,No,No,No,A veces,A veces,No,No,No,Sí
20,18-21 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,Prestado por un familiar o amigo,De 1 a 5 años,4 personas,Cotizante,Universitaria Incompleta o en curso,No,Ni favorable/ Ni desfavorable,Muy favorable,Favorable,Sí,Mala,0,0,0,No Aplica,16,No,No,Sí,Casi Siempre,Casi Siempre,No,No,No,No
19,18-21 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Siempre,4 personas,Subsidiado/ Sisben,Técnica incompleta o en curso,Sí,Favorable,Favorable,Favorable,Nunca he trabajado,Buena,0,0,0,No Aplica,No Aplica,No,No,No,Casi nunca,Casi Siempre,No,No,No,No
19,18-21 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,Alquilado,Siempre,6 personas,Beneficiario,Grado 11,No,Favorable,Favorable,Favorable,Sí,Muy Mala,0,0,0,19,18,No,No,Sí,Siempre,Casi Siempre,No,No,No,No
20,18-21 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Prestado por un familiar o amigo,Siempre,5 personas,Subsidiado/ Sisben,Técnica incompleta o en curso,No,Favorable,Ni favorable/ Ni desfavorable,Ni favorable/ Ni desfavorable,No,Ni buena/ Ni mala,0,0,0,No Aplica,11,Sí,Sí,No,A veces,Casi nunca,No,No,No,Sí
16,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,4 personas,Beneficiario,Grado 7,No,Muy desfavorable,Desfavorable,Desfavorable,Sí,Ni buena/ Ni mala,0,0,0,No Aplica,13,Sí,No,Sí,Siempre,Casi nunca,No,No,No,No
18,18-21 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,4 personas,Subsidiado/ Sisben,Universitaria Incompleta o en curso,Sí,Favorable,Muy favorable,Favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,Sí,Casi Siempre,Siempre,No,No,No,No
18,18-21 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Más de 10 años,8 personas,Subsidiado/ Sisben,Técnica incompleta o en curso,Sí,Muy favorable,Muy favorable,Muy favorable,No,Buena,0,0,0,No Aplica,14,Sí,Sí,Sí,Casi nunca,Casi nunca,Sí,No,No,No
20,18-21 años,Hombre,No eres casado(a) y vives en pareja hace menos de dos años,COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,Siempre,2 personas,Subsidiado/ Sisben,Grado 11,No,Favorable,Favorable,Favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,15,Sí,Sí,No,A veces,Casi nunca,No,No,Sí,No
20,18-21 años,Mujer,No eres casado(a) y vives en pareja hace dos años o más,COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Alquilado,De 1 a 5 años,5 personas,Subsidiado/ Sisben,Grado 9,Sí,Favorable,Desfavorable,Favorable,No,Muy buena,0,0,0,17,16,No,No,Sí,Siempre,Casi Siempre,No,No,No,No
25,22-26 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,4 personas,Ninguno,Universitaria Incompleta o en curso,Sí,Favorable,Desfavorable,Favorable,No,Mala,0,0,0,No Aplica,16,No,No,Sí,Siempre,Casi Siempre,No,No,No,No
26,22-26 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Prestado por un familiar o amigo,Siempre,6 personas,Ninguno,Grado 8,No,Favorable,Favorable,Favorable,No,Ni buena/ Ni mala,0,0,0,17,17,No,No,Sí,Nunca,Nunca,Sí,No,No,No
24,22-26 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,Prestado por un familiar o amigo,Siempre,6 personas,Subsidiado/ Sisben,Grado 11,No,Desfavorable,Desfavorable,Desfavorable,No,Mala,0,0,0,No Aplica,14,No,No,Sí,A veces,A veces,No,No,No,No
16,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Prestado por un familiar o amigo,Siempre,7 personas,Subsidiado/ Sisben,Grado 10,Sí,Favorable,Favorable,Favorable,Sí,Buena,0,0,0,No Aplica,15,No,Sí,Sí,A veces,Nunca,No,No,No,No
26,22-26 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,Alquilado,Siempre,4 personas,Cotizante,Universitaria completa,Sí,Desfavorable,Favorable,Muy favorable,Sí,Mala,7000,0,0,No Aplica,No Aplica,No,No,No,Casi nunca,Siempre,No,No,No,No
19,18-21 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,Alquilado,Siempre,5 personas,Subsidiado/ Sisben,Universitaria Incompleta o en curso,Sí,Favorable,Favorable,Favorable,No,Muy buena,12000,0,0,No Aplica,No Aplica,No,No,No,Nunca,A veces,No,No,No,No
19,18-21 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,Alquilado,Siempre,4 personas,Subsidiado/ Sisben,Técnica Completa,No,Muy favorable,Favorable,Muy favorable,Nunca he trabajado,Muy Mala,0,0,0,No Aplica,15,No,No,No,Siempre,Casi nunca,No,No,No,No
17,14-17 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 3,Alquilado,Menos de 1 año,4 personas,Subsidiado/ Sisben,Grado 11,Sí,Favorable,Muy favorable,Muy favorable,Nunca he trabajado,Nunca ha realizado,15000,0,0,No Aplica,No Aplica,No,No,No,Nunca,Casi Siempre,No,No,No,No
19,18-21 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Más de 10 años,3 personas,Ninguno,Grado 10,Sí,Favorable,Favorable,Favorable,No,Mala,0,0,0,No Aplica,14,No,No,Sí,A veces,A veces,Sí,No,No,No
14,14-17 años,Hombre,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,Prestado por un familiar o amigo,Siempre,4 personas,Subsidiado/ Sisben,Grado 7,Sí,Favorable,Muy favorable,Favorable,Nunca he trabajado,Buena,0,0,0,No Aplica,14,No,No,Sí,Siempre,A veces,Sí,No,No,No
20,18-21 años,Mujer,Soltero(a),COMUNA,Robledo,NOROCCIDENTAL,Estrato 2,De tus padres/ hermanos,Siempre,5 personas,Subsidiado/ Sisben,Técnica Completa,No,Favorable,Favorable,Favorable,No,Ni buena/ Ni mala,0,0,0,No Aplica,18,No,No,Sí,A veces,Nunca,No,No,No,No
